sub id,q group no,score,link,avg,,
58470962,avg,1.2,https://admin.streetbees.com/projects/26618/submissions/58470962,1.0,1.2,1
,1,1,,,1.0,
,2,1,,,1.0,
,3,1,,,1.0,
,4,2,,,2.0,
,5,1,,,1.0,
58470969,avg,2.8,https://admin.streetbees.com/projects/26618/submissions/58470969,3.0,2.8,2
,1,2,,,2.0,
,2,1,,,1.0,
,3,3,,,3.0,
,4,4,,,4.0,
,5,4,,,4.0,
58471056,avg,2.4,https://admin.streetbees.com/projects/26618/submissions/58471056,2.0,2.4,2
,1,2,,,2.0,
,2,1,,,1.0,
,3,4,,,4.0,
,4,2,,,2.0,
,5,3,,,3.0,
58471182,avg,3.2,https://admin.streetbees.com/projects/26618/submissions/58471182,3.0,3.2,3
,1,4,,,4.0,
,2,3,,,3.0,
,3,2,,,2.0,
,4,4,,,4.0,
,5,3,,,3.0,
58471241,avg,4.0,https://admin.streetbees.com/projects/26618/submissions/58471241,4.0,4.0,4
,1,5,,,5.0,
,2,5,,,5.0,
,3,3,,,3.0,
,4,3,,,3.0,
,5,4,,,4.0,
,6,4,,,4.0,
58471255,avg,4.0,https://admin.streetbees.com/projects/26618/submissions/58471255,4.0,4.0,4
,1,6,,,6.0,
,2,4,,,4.0,
,3,4,,,4.0,
,4,4,,,4.0,
,5,2,,,2.0,
58471368,avg,1.0,https://admin.streetbees.com/projects/26618/submissions/58471368,1.0,1.0,1
,1,1,,,1.0,
,2,1,,,1.0,
,3,1,,,1.0,
,4,1,,,1.0,
,5,1,,,1.0,
58471373,avg,2.8,https://admin.streetbees.com/projects/26618/submissions/58471373,3.0,2.8,2
,1,4,,,4.0,
,2,4,,,4.0,
,3,2,,,2.0,
,4,2,,,2.0,
,5,2,,,2.0,
58471613,avg,2.0,https://admin.streetbees.com/projects/26618/submissions/58471613,2.0,2.0,2
,1,4,,,4.0,
,2,2,,,2.0,
,3,2,,,2.0,
,4,1,,,1.0,
,5,2,,,2.0,
,6,1,,,1.0,
58471661,avg,1.4,https://admin.streetbees.com/projects/26618/submissions/58471661,1.0,1.4,1
,1,2,,,2.0,
,2,1,,,1.0,
,3,2,,,2.0,
,4,1,,,1.0,
,5,1,,,1.0,
58471737,avg,1.4,https://admin.streetbees.com/projects/26618/submissions/58471737,1.0,1.4,1
,1,3,,,3.0,
,2,1,,,1.0,
,3,1,,,1.0,
,4,1,,,1.0,
,5,1,,,1.0,
58471743,avg,1.0,https://admin.streetbees.com/projects/26618/submissions/58471743,1.0,1.0,1
,1,1,,,1.0,
,2,1,,,1.0,
,3,1,,,1.0,
,4,1,,,1.0,
,5,1,,,1.0,
58471780,avg,1.0,https://admin.streetbees.com/projects/26618/submissions/58471780,1.0,1.0,1
,1,1,,,1.0,
,2,1,,,1.0,
,3,1,,,1.0,
,4,1,,,1.0,
,5,1,,,1.0,
,6,1,,,1.0,
58471787,avg,2.7,https://admin.streetbees.com/projects/26618/submissions/58471787,3.0,2.7,2
,1,4,,,4.0,
,2,3,,,3.0,
,3,2,,,2.0,
,4,2,,,2.0,
,5,1,,,1.0,
,6,4,,,4.0,
58471814,avg,1.0,https://admin.streetbees.com/projects/26618/submissions/58471814,1.0,1.0,1
,1,1,,,1.0,
,2,1,,,1.0,
,3,1,,,1.0,
,4,1,,,1.0,
,5,1,,,1.0,
,6,1,,,1.0,
58471832,avg,1.0,https://admin.streetbees.com/projects/26618/submissions/58471832,1.0,1.0,1
,1,1,,,1.0,
,2,1,,,1.0,
,3,1,,,1.0,
,4,1,,,1.0,
,5,1,,,1.0,
,6,1,,,1.0,
58471898,avg,1.0,https://admin.streetbees.com/projects/26618/submissions/58471898,1.0,1.0,1
,1,1,,,1.0,
,2,1,,,1.0,
,3,1,,,1.0,
,4,1,,,1.0,
,5,1,,,1.0,
,6,1,,,1.0,
58471900,avg,3.4,https://admin.streetbees.com/projects/26618/submissions/58471900,3.0,3.4,3
,1,4,,,4.0,
,2,4,,,4.0,
,3,2,,,2.0,
,4,3,,,3.0,
,5,4,,,4.0,
58471008,avg,3.2,https://admin.streetbees.com/projects/26618/submissions/58471008,3.0,3.2,3
,1,4,,,4.0,
,2,4,,,4.0,
,3,3,,,3.0,
,4,2,,,2.0,
,5,3,,,3.0,
58471032,avg,3.4,https://admin.streetbees.com/projects/26618/submissions/58471032,3.0,3.4,3
,1,4,,,4.0,
,2,4,,,4.0,
,3,3,,,3.0,
,4,2,,,2.0,
,5,4,,,4.0,
58471251,avg,2.2,https://admin.streetbees.com/projects/26618/submissions/58471251,2.0,2.2,2
,1,2,,,2.0,
,2,2,,,2.0,
,3,1,,,1.0,
,4,2,,,2.0,
,5,2,,,2.0,
,6,4,,,4.0,
58471502,avg,1.7,https://admin.streetbees.com/projects/26618/submissions/58471502,2.0,1.7,1
,1,3,,,3.0,
,2,2,,,2.0,
,3,1,,,1.0,
,4,2,,,2.0,
,5,1,,,1.0,
,6,1,,,1.0,
58471567,avg,2.3,https://admin.streetbees.com/projects/26618/submissions/58471567,2.0,2.3,2
,1,2,,,,
,2,2,,,,
,3,3,,,,
,4,2,,,,
,5,3,,,,
,6,2,,,,
58471606,avg,2.6,https://admin.streetbees.com/projects/26618/submissions/58471606,3.0,2.6,2
,1,2,,,,
,2,2,,,,
,3,2,,,,
,4,4,,,,
,5,3,,,,
58465872,avg,5.8,https://admin.streetbees.com/projects/26618/submissions/58465872,6.0,5.8,5
,1,6,,,,
,2,6,,,,
,3,5,,,,
,4,6,,,,
,5,6,,,,
58466224,avg,5.3,https://admin.streetbees.com/projects/26618/submissions/58466224,5.0,5.3,5
,1,6,,,,
,2,6,,,,
,3,6,,,,
,4,4,,,,
,5,5,,,,
,6,5,,,,
58466329,avg,6.0,https://admin.streetbees.com/projects/26618/submissions/58466329,6.0,6.0,6
,1,6,,,,
,2,6,,,,
,3,6,,,,
,4,6,,,,
,5,6,,,,
58465092,avg,5.6,https://admin.streetbees.com/projects/26618/submissions/58465092,6.0,5.6,5
,1,6,,,,
,2,6,,,,
,3,6,,,,
,4,5,,,,
,5,5,,,,
58465288,avg,5.5,https://admin.streetbees.com/projects/26618/submissions/58465288,6.0,5.5,5
,1,6,,,,
,2,6,,,,
,3,6,,,,
,4,6,,,,
,5,4,,,,
58465292,avg,5.2,https://admin.streetbees.com/projects/26618/submissions/58465292,5.0,5.2,5
,1,6,,,,
,2,4,,,,
,3,6,,,,
,4,6,,,,
,5,4,,,,
58465785,avg,6.0,https://admin.streetbees.com/projects/26618/submissions/58465785,6.0,6.0,6
,1,6,,,,
,2,6,,,,
,3,6,,,,
,4,6,,,,
,5,6,,,,
58465943,avg,5.5,https://admin.streetbees.com/projects/26618/submissions/58465943,5.0,5.5,5
,1,6,,,,
,2,5,,,,
,3,5,,,,
,4,6,,,,
,5,5,,,,
,6,6,,,,
